seed,method,marginal_cov,mean_width,ece,cov_power,width_power,rmse_power,cov_water,width_water,rmse_water,cov_telecom,width_telecom,rmse_telecom
0,mondrian_cp,0.9557522123893806,0.9101682901382446,0.06460176991150442,0.98,0.9742284417152405,0.21592125296592712,0.9736842105263158,0.8989843130111694,0.23960942029953003,0.88,0.7990477681159973,0.24266399443149567
0,chmp_mean,0.9557522123893806,0.9188786149024963,0.08761061946902653,0.98,0.9962614178657532,0.21592125296592712,0.9736842105263158,0.8968948721885681,0.23960942029953003,0.88,0.7975282073020935,0.24266399443149567
0,chmp_median,0.9557522123893806,0.92057204246521,0.06991150442477874,0.98,0.996181845664978,0.21592125296592712,0.9736842105263158,0.9020258188247681,0.23960942029953003,0.88,0.7975428104400635,0.24266399443149567
0,chmp_median_floor,0.9557522123893806,0.92057204246521,0.06991150442477874,0.98,0.996181845664978,0.21592125296592712,0.9736842105263158,0.9020258188247681,0.23960942029953003,0.88,0.7975428104400635,0.24266399443149567
1,mondrian_cp,0.8672566371681416,0.6845064163208008,0.06460176991150446,0.86,0.7281906008720398,0.22737906873226166,0.8421052631578947,0.6713481545448303,0.2495160698890686,0.92,0.6171385049819946,0.15243536233901978
1,chmp_mean,0.8584070796460177,0.6725607514381409,0.10530973451327434,0.84,0.6941037178039551,0.22737906873226166,0.8421052631578947,0.6817216873168945,0.2495160698890686,0.92,0.6155503988265991,0.15243536233901978
1,chmp_median,0.8584070796460177,0.6748721599578857,0.08761061946902651,0.84,0.6941592693328857,0.22737906873226166,0.8421052631578947,0.6866382956504822,0.2495160698890686,0.92,0.6184132099151611,0.15243536233901978
1,chmp_median_floor,0.8584070796460177,0.6748721599578857,0.08761061946902651,0.84,0.6941592693328857,0.22737906873226166,0.8421052631578947,0.6866382956504822,0.2495160698890686,0.92,0.6184132099151611,0.15243536233901978
2,mondrian_cp,0.8938053097345132,0.6876976490020752,0.041592920353982286,0.86,0.6439206600189209,0.22184769809246063,0.9210526315789473,0.7563573718070984,0.1908538043498993,0.92,0.6708889007568359,0.19108834862709045
2,chmp_mean,0.8938053097345132,0.6921887397766113,0.0380530973451327,0.86,0.6527776122093201,0.22184769809246063,0.9210526315789473,0.7588082551956177,0.1908538043498993,0.92,0.66974937915802,0.19108834862709045
2,chmp_median,0.8938053097345132,0.6909862756729126,0.05398230088495572,0.86,0.6524407863616943,0.22184769809246063,0.9210526315789473,0.75907301902771,0.1908538043498993,0.92,0.6645857095718384,0.19108834862709045
2,chmp_median_floor,0.8938053097345132,0.6909862756729126,0.05398230088495572,0.86,0.6524407863616943,0.22184769809246063,0.9210526315789473,0.75907301902771,0.1908538043498993,0.92,0.6645857095718384,0.19108834862709045
3,mondrian_cp,0.911504424778761,0.7186288237571716,0.023893805309734492,0.94,0.7790172696113586,0.20952565968036652,0.8947368421052632,0.6112295389175415,0.19481797516345978,0.88,0.7610983848571777,0.24476462602615356
3,chmp_mean,0.911504424778761,0.7111002206802368,0.05929203539823005,0.94,0.7573225498199463,0.20952565968036652,0.8947368421052632,0.6162985563278198,0.19481797516345978,0.88,0.7627537250518799,0.24476462602615356
3,chmp_median,0.911504424778761,0.7113046050071716,0.0734513274336283,0.94,0.7571535706520081,0.20952565968036652,0.8947368421052632,0.617236316204071,0.19481797516345978,0.88,0.7625907063484192,0.24476462602615356
3,chmp_median_floor,0.911504424778761,0.7113046050071716,0.0734513274336283,0.94,0.7571535706520081,0.20952565968036652,0.8947368421052632,0.617236316204071,0.19481797516345978,0.88,0.7625907063484192,0.24476462602615356
