seed,lambda,marginal_cov,mean_width,ece,cov_power,width_power,cov_water,width_water,cov_telecom,width_telecom
0,0.0,0.911504424778761,0.8221200108528137,0.041592920353982266,0.94,0.857269823551178,0.868421052631579,0.7162442803382874,0.92,0.9127512574195862
0,0.1,0.911504424778761,0.822971522808075,0.04336283185840705,0.94,0.8597056865692139,0.868421052631579,0.7146996259689331,0.92,0.9140763878822327
0,0.3,0.911504424778761,0.824660062789917,0.04336283185840705,0.94,0.8644915819168091,0.868421052631579,0.711741030216217,0.92,0.9166337847709656
0,0.5,0.911504424778761,0.8263291120529175,0.04336283185840705,0.94,0.8691689372062683,0.868421052631579,0.7089447379112244,0.92,0.9190741181373596
0,1.0,0.911504424778761,0.8304165601730347,0.06106194690265485,0.96,0.8804223537445068,0.8421052631578947,0.702582597732544,0.92,0.9247125387191772
1,0.0,0.8849557522123894,0.7942560315132141,0.022123893805309765,0.9,0.6403888463973999,0.8947368421052632,0.9618021249771118,0.84,0.847320556640625
1,0.1,0.8849557522123894,0.7968955039978027,0.07876106194690263,0.9,0.6425518989562988,0.8947368421052632,0.9651405215263367,0.84,0.8498507738113403
1,0.3,0.8849557522123894,0.8020498156547546,0.07876106194690263,0.9,0.6468013525009155,0.8947368421052632,0.9716370105743408,0.84,0.8547741770744324
1,0.5,0.8849557522123894,0.8070446252822876,0.07876106194690263,0.9,0.6509517431259155,0.8947368421052632,0.9779045581817627,0.84,0.8595234155654907
1,1.0,0.8761061946902655,0.8188822269439697,0.08761061946902653,0.88,0.6609165072441101,0.8947368421052632,0.9926458597183228,0.84,0.8706929087638855
2,0.0,0.911504424778761,0.7512486577033997,0.06814159292035399,0.84,0.6834196448326111,0.9736842105263158,0.8290818333625793,0.96,0.7686007618904114
2,0.1,0.911504424778761,0.7519131302833557,0.09115044247787608,0.84,0.6837156414985657,0.9736842105263158,0.8311479091644287,0.96,0.7678715586662292
2,0.3,0.911504424778761,0.7488288283348083,0.09115044247787608,0.84,0.6744081377983093,0.9736842105263158,0.8351383209228516,0.96,0.7664797902107239
2,0.5,0.9026548672566371,0.7444940805435181,0.08230088495575219,0.84,0.6623693108558655,0.9736842105263158,0.8389496803283691,0.92,0.7651709914207458
2,1.0,0.8938053097345132,0.7478877902030945,0.08053097345132741,0.82,0.6648129224777222,0.9736842105263158,0.847770094871521,0.92,0.7622160315513611
3,0.0,0.8849557522123894,0.7287504076957703,0.03274336283185845,0.92,0.6867877840995789,0.8421052631578947,0.6433224678039551,0.88,0.94252610206604
3,0.1,0.8849557522123894,0.7316610217094421,0.06106194690265486,0.92,0.6925380229949951,0.8421052631578947,0.6444709897041321,0.88,0.9424363970756531
3,0.3,0.8849557522123894,0.7374581098556519,0.06106194690265486,0.92,0.7040391564369202,0.8421052631578947,0.6466895341873169,0.88,0.9422640800476074
3,0.5,0.8849557522123894,0.7432244420051575,0.0734513274336283,0.92,0.7155415415763855,0.8421052631578947,0.6488093137741089,0.88,0.9421005249023438
3,1.0,0.8938053097345132,0.7575186491012573,0.06991150442477875,0.92,0.7443033456802368,0.868421052631579,0.6537176370620728,0.88,0.9417265057563782
4,0.0,0.9823008849557522,0.9008995890617371,0.08230088495575219,0.98,0.9192156791687012,0.9736842105263158,0.8467539548873901,1.0,0.9465688467025757
4,0.1,0.9823008849557522,0.9049974083900452,0.08230088495575219,0.98,0.926235020160675,0.9736842105263158,0.8483371734619141,1.0,0.9486460089683533
4,0.3,0.9823008849557522,0.8935169577598572,0.08230088495575219,0.98,0.8959364295005798,0.9736842105263158,0.8514119386672974,1.0,0.9526776075363159
4,0.5,0.9823008849557522,0.8779603838920593,0.08230088495575219,0.98,0.8565928936004639,0.9736842105263158,0.8543696403503418,1.0,0.9565533399581909
4,1.0,0.9823008849557522,0.874110758304596,0.08230088495575219,0.98,0.8380981683731079,0.9736842105263158,0.8612945675849915,1.0,0.9656165242195129
5,0.0,0.8407079646017699,0.7651050686836243,0.068141592920354,0.88,0.7832045555114746,0.7368421052631579,0.692060649394989,0.92,0.8399332165718079
5,0.1,0.8407079646017699,0.7581862211227417,0.12300884955752212,0.88,0.7697598338127136,0.7368421052631579,0.6889191269874573,0.92,0.8403252363204956
5,0.3,0.8407079646017699,0.7460902333259583,0.12300884955752212,0.88,0.7453147172927856,0.7368421052631579,0.684619665145874,0.92,0.8410766124725342
5,0.5,0.8407079646017699,0.7397856116294861,0.12654867256637167,0.88,0.7293687462806702,0.7368421052631579,0.686385989189148,0.92,0.841786801815033
5,1.0,0.8407079646017699,0.7492294907569885,0.12831858407079644,0.88,0.7468029260635376,0.7368421052631579,0.6904655694961548,0.92,0.8434040546417236
6,0.0,0.9292035398230089,0.7465331554412842,0.03274336283185837,0.94,0.7550711035728455,0.8947368421052632,0.7068780660629272,0.96,0.7897334098815918
6,0.1,0.9292035398230089,0.7481831312179565,0.07876106194690262,0.94,0.7572767734527588,0.8947368421052632,0.7091957330703735,0.96,0.7892568111419678
6,0.3,0.9292035398230089,0.7514296770095825,0.05929203539823005,0.94,0.7616380453109741,0.8947368421052632,0.7137138247489929,0.96,0.7883412837982178
6,0.5,0.9380530973451328,0.7543303966522217,0.06991150442477874,0.94,0.7653083205223083,0.9210526315789473,0.7180817127227783,0.96,0.7874729037284851
6,1.0,0.9380530973451328,0.7556422352790833,0.06991150442477874,0.94,0.7614314556121826,0.9210526315789473,0.728391170501709,0.96,0.7854853272438049
7,0.0,0.911504424778761,0.7662136554718018,0.052212389380530966,0.86,0.7882183790206909,0.9210526315789473,0.7571568489074707,1.0,0.7359708547592163
7,0.1,0.911504424778761,0.7643601298332214,0.08761061946902654,0.86,0.7836764454841614,0.9210526315789473,0.7572252154350281,1.0,0.7365725636482239
7,0.3,0.911504424778761,0.7646766304969788,0.10707964601769909,0.86,0.7837055921554565,0.9210526315789473,0.7573596835136414,1.0,0.7377403974533081
7,0.5,0.9026548672566371,0.7691049575805664,0.10707964601769909,0.84,0.7930524349212646,0.9210526315789473,0.7574912905693054,1.0,0.738862931728363
