seed,alpha,marginal_cov,mean_width,ece,cov_power,width_power,cov_water,width_water,cov_telecom,width_telecom
0,0.05,0.9469026548672567,1.0176817178726196,0.06681415929203541,1.0,1.0944691896438599,0.9210526315789473,0.9738789796829224,0.88,0.9306870102882385
0,0.1,0.8938053097345132,0.7743031978607178,0.061061946902654825,0.94,0.7413479089736938,0.8421052631578947,0.7963188290596008,0.88,0.8067498207092285
0,0.15,0.7964601769911505,0.6503056287765503,0.09778761061946901,0.9,0.681898832321167,0.6842105263157895,0.6391136646270752,0.76,0.6041309833526611
0,0.2,0.6902654867256637,0.5358911156654358,0.16283185840707964,0.78,0.5614481568336487,0.6052631578947368,0.5291543006896973,0.64,0.49501675367355347
1,0.05,0.9734513274336283,1.1942399740219116,0.0526548672566372,1.0,1.2614928483963013,0.9473684210526315,1.2292449474334717,0.96,1.0065263509750366
1,0.1,0.8761061946902655,0.7865795493125916,0.10707964601769909,0.84,0.6336829662322998,0.868421052631579,0.9449682831764221,0.96,0.8516218662261963
1,0.15,0.8407079646017699,0.69740891456604,0.12256637168141593,0.84,0.6128499507904053,0.7631578947368421,0.7455652356147766,0.96,0.7933291792869568
1,0.2,0.7787610619469026,0.5368551015853882,0.09557522123893804,0.78,0.46056634187698364,0.7368421052631579,0.6504482626914978,0.84,0.5167709589004517
2,0.05,0.9380530973451328,0.8908061981201172,0.05176991150442478,0.9,0.7440122365951538,0.9736842105263158,1.0289344787597656,0.96,0.974439263343811
2,0.1,0.8938053097345132,0.7177956700325012,0.09115044247787608,0.82,0.668982744216919,0.9736842105263158,0.7715330719947815,0.92,0.7337403893470764
2,0.15,0.8584070796460177,0.669887363910675,0.08362831858407077,0.82,0.6521610021591187,0.9473684210526315,0.7175958752632141,0.8,0.6328226327896118
2,0.2,0.8230088495575221,0.6232916712760925,0.13628318584070795,0.8,0.6220107078552246,0.9736842105263158,0.710830569267273,0.64,0.492794394493103
3,0.05,0.9292035398230089,0.9648439288139343,0.06592920353982301,0.96,1.1362214088439941,0.868421052631579,0.6562202572822571,0.96,1.091196894645691
3,0.1,0.8938053097345132,0.7353188395500183,0.08761061946902651,0.94,0.794838547706604,0.7894736842105263,0.501081645488739,0.96,0.9723197817802429
3,0.15,0.8849557522123894,0.6876170635223389,0.11106194690265485,0.94,0.7719677686691284,0.7894736842105263,0.46502289175987244,0.92,0.8572584390640259
3,0.2,0.831858407079646,0.5844254493713379,0.10973451327433628,0.9,0.6351635456085205,0.7894736842105263,0.4508328139781952,0.76,0.6860101222991943
4,0.05,0.9734513274336283,1.037183165550232,0.047345132743362855,0.98,1.018282175064087,0.9473684210526315,0.9892075061798096,1.0,1.1479082107543945
4,0.1,0.9380530973451328,0.9110807180404663,0.07168141592920352,0.96,0.921095609664917,0.8947368421052632,0.9052020907402039,0.96,0.8999860286712646
4,0.15,0.911504424778761,0.7724022269248962,0.09601769911504425,0.96,0.8129376173019409,0.8157894736842105,0.6943336129188538,0.96,0.809995710849762
4,0.2,0.8584070796460177,0.6452248692512512,0.10442477876106193,0.9,0.6450628638267517,0.7368421052631579,0.5936716794967651,0.96,0.7239095568656921
5,0.05,0.9557522123893806,1.2228366136550903,0.06415929203539825,1.0,1.60235595703125,0.868421052631579,0.6999923586845398,1.0,1.2585214376449585
5,0.1,0.8938053097345132,0.7787772417068481,0.08761061946902653,0.94,0.8592990636825562,0.8157894736842105,0.5950868725776672,0.92,0.8969431519508362
5,0.15,0.8495575221238938,0.6650056838989258,0.08539823008849556,0.84,0.6449754238128662,0.8157894736842105,0.5519272685050964,0.92,0.8769453167915344
