seed,alpha,marginal_cov,mean_width,ece,cov_power,width_power,cov_water,width_water,cov_telecom,width_telecom
0,0.05,0.9557522123893806,1.0528420209884644,0.06415929203539825,1.0,1.175580620765686,0.9736842105263158,1.031766414642334,0.84,0.8393995761871338
0,0.1,0.8495575221238938,0.8189924359321594,0.10530973451327433,0.92,0.8775872588157654,0.7631578947368421,0.7690399289131165,0.84,0.7777303457260132
0,0.15,0.8230088495575221,0.7109787464141846,0.07566371681415926,0.86,0.6751986742019653,0.7631578947368421,0.7218533158302307,0.84,0.7660099267959595
0,0.2,0.7610619469026548,0.5927848219871521,0.1026548672566372,0.84,0.5826116800308228,0.6052631578947368,0.592414140701294,0.84,0.613694429397583
1,0.05,0.9646017699115044,1.2846977710723877,0.04557522123893808,1.0,1.4975683689117432,0.8947368421052632,0.9372965097427368,1.0,1.3870065212249756
1,0.1,0.9026548672566371,0.8604117631912231,0.06991150442477875,0.94,0.9373711943626404,0.8421052631578947,0.6971215009689331,0.92,0.9546942114830017
1,0.15,0.831858407079646,0.6639499664306641,0.09424778761061947,0.8,0.5669421553611755,0.8157894736842105,0.6223345994949341,0.92,0.9212207198143005
1,0.2,0.7610619469026548,0.5652210116386414,0.08849557522123895,0.72,0.49779126048088074,0.7368421052631579,0.5068434476852417,0.88,0.7888145446777344
2,0.05,0.9557522123893806,1.016007900238037,0.06415929203539825,0.98,0.9741544127464294,1.0,1.2926512956619263,0.84,0.6792171001434326
2,0.1,0.8938053097345132,0.763813853263855,0.04159292035398228,0.86,0.7821727991104126,0.9736842105263158,0.798727810382843,0.84,0.6740266680717468
2,0.15,0.8761061946902655,0.7015670537948608,0.07123893805309733,0.84,0.7104084491729736,0.9473684210526315,0.7119803428649902,0.84,0.6680557131767273
2,0.2,0.831858407079646,0.6281773447990417,0.05309734513274336,0.78,0.632453441619873,0.8947368421052632,0.6189043521881104,0.84,0.6337199211120605
3,0.05,0.9380530973451328,0.9812188744544983,0.06592920353982301,0.96,1.0917290449142456,0.8947368421052632,0.6459066271781921,0.96,1.269873023033142
3,0.1,0.9026548672566371,0.65535968542099,0.07345132743362831,0.94,0.7107214331626892,0.8947368421052632,0.5846483707427979,0.84,0.6521173119544983
