seed,method,marginal_cov,mean_width,ece,cov_power,width_power,rmse_power,cov_water,width_water,rmse_water,cov_telecom,width_telecom,rmse_telecom
0,mondrian_cp,0.9026548672566371,0.9293727278709412,0.029203539823008853,0.92,0.9227885603904724,0.2409331053495407,0.868421052631579,0.9166680574417114,0.26460304856300354,0.92,0.9618521332740784,0.25491443276405334
0,chmp_mean,0.8938053097345132,0.9158599376678467,0.09469026548672564,0.9,0.8967881798744202,0.2409331053495407,0.868421052631579,0.9127561450004578,0.26460304856300354,0.92,0.9587213397026062,0.25491443276405334
0,chmp_median,0.8938053097345132,0.916917085647583,0.055752212389380496,0.9,0.8965643048286438,0.2409331053495407,0.868421052631579,0.913367509841919,0.26460304856300354,0.92,0.9630181193351746,0.25491443276405334
0,chmp_median_floor,0.9026548672566371,0.9224818348884583,0.0380530973451327,0.92,0.9056307077407837,0.2409331053495407,0.868421052631579,0.9164218902587891,0.26460304856300354,0.92,0.9653952717781067,0.25491443276405334
1,mondrian_cp,0.9026548672566371,0.6867333054542542,0.020353982300884945,0.9,0.6449775695800781,0.21099545061588287,0.8947368421052632,0.7014298439025879,0.25836849212646484,0.92,0.7479060292243958,0.21460601687431335
1,chmp_mean,0.9026548672566371,0.693618655204773,0.0646017699115044,0.9,0.6606744527816772,0.21099545061588287,0.8947368421052632,0.6980452537536621,0.25836849212646484,0.92,0.7527786493301392,0.21460601687431335
1,chmp_median,0.9026548672566371,0.6948608160018921,0.0646017699115044,0.9,0.6605067253112793,0.21099545061588287,0.8947368421052632,0.7038194537162781,0.25836849212646484,0.92,0.7499517202377319,0.21460601687431335
1,chmp_median_floor,0.9026548672566371,0.6904107928276062,0.023893805309734503,0.9,0.6498404741287231,0.21099545061588287,0.8947368421052632,0.7046860456466675,0.25836849212646484,0.92,0.7498529553413391,0.21460601687431335
2,mondrian_cp,0.8672566371681416,0.7457253336906433,0.08053097345132745,0.78,0.6780022978782654,0.24661166965961456,0.9736842105263158,0.8311572074890137,0.1985207051038742,0.88,0.7513147592544556,0.23202212154865265
2,chmp_mean,0.8672566371681416,0.7404718399047852,0.11415929203539822,0.78,0.6694232821464539,0.24661166965961456,0.9736842105263158,0.8273646235466003,0.1985207051038742,0.88,0.7504920363426208,0.23202212154865265
