seed,lambda,marginal_cov,mean_width,ece,cov_power,width_power,cov_water,width_water,cov_telecom,width_telecom
0,0.0,0.9380530973451328,0.9436893463134766,0.038053097345132715,0.92,0.7908764481544495,0.9473684210526315,1.0058050155639648,0.96,1.1548993587493896
0,0.1,0.9380530973451328,0.9455263018608093,0.038053097345132694,0.92,0.7992720007896423,0.9473684210526315,1.0021748542785645,0.96,1.1519290208816528
0,0.3,0.9380530973451328,0.9493982195854187,0.038053097345132694,0.92,0.8160610198974609,0.9473684210526315,0.9952998161315918,0.96,1.146302342414856
0,0.5,0.9380530973451328,0.9535114169120789,0.038053097345132694,0.92,0.8328465223312378,0.9473684210526315,0.988894522190094,0.96,1.1410586833953857
0,1.0,0.9292035398230089,0.964699387550354,0.045132743362831816,0.92,0.8747955560684204,0.9210526315789473,0.974645733833313,0.96,1.1293888092041016
1,0.0,0.831858407079646,0.7124425768852234,0.08407079646017701,0.78,0.6154205799102783,0.8421052631578947,0.8525659441947937,0.92,0.693499743938446
1,0.1,0.8407079646017699,0.7158008217811584,0.10884955752212386,0.8,0.6222624182701111,0.8421052631578947,0.8531384468078613,0.92,0.6941245198249817
1,0.3,0.8495575221238938,0.7250624299049377,0.10176991150442474,0.8,0.6359460949897766,0.8421052631578947,0.8618881106376648,0.96,0.6953200697898865
1,0.5,0.8495575221238938,0.7341927289962769,0.11769911504424777,0.8,0.6496298909187317,0.8421052631578947,0.8702908754348755,0.96,0.6964490413665771
1,1.0,0.8672566371681416,0.7564946413040161,0.13539823008849555,0.8,0.6838392615318298,0.8947368421052632,0.8899103403091431,0.96,0.6990135908126831
2,0.0,0.8849557522123894,0.755767822265625,0.06991150442477878,0.88,0.7657396793365479,0.9473684210526315,0.7752137780189514,0.8,0.7062664031982422
2,0.1,0.8849557522123894,0.7563788890838623,0.06283185840707962,0.88,0.7652824521064758,0.9473684210526315,0.7763327360153198,0.8,0.7082422375679016
2,0.3,0.8849557522123894,0.7575739026069641,0.0646017699115044,0.88,0.7644163370132446,0.9473684210526315,0.7784976363182068,0.8,0.7120848894119263
2,0.5,0.8849557522123894,0.7613554000854492,0.0646017699115044,0.88,0.7695353627204895,0.9473684210526315,0.7805705070495605,0.8,0.7157884836196899
2,1.0,0.8849557522123894,0.7761772871017456,0.0823008849557522,0.88,0.7950233221054077,0.9473684210526315,0.7853859066963196,0.8,0.7244877815246582
3,0.0,0.9203539823008849,0.674365222454071,0.023893805309734513,0.92,0.7028833627700806,0.8947368421052632,0.5812060832977295,0.96,0.7589306831359863
3,0.1,0.9203539823008849,0.6726630330085754,0.04513274336283184,0.92,0.6983871459960938,0.8947368421052632,0.5811792612075806,0.96,0.7602702975273132
3,0.3,0.9203539823008849,0.6694456338882446,0.03805309734513273,0.92,0.6898596286773682,0.8947368421052632,0.581127941608429,0.96,0.7628602385520935
3,0.5,0.9026548672566371,0.6664572358131409,0.05575221238938054,0.92,0.6819040179252625,0.8421052631578947,0.5810799598693848,0.96,0.7653374671936035
3,1.0,0.9026548672566371,0.6778572797775269,0.07168141592920353,0.92,0.7048770189285278,0.8421052631578947,0.5809720754623413,0.96,0.7710830569267273
4,0.0,0.911504424778761,0.7755222320556641,0.05044247787610618,0.94,0.7039489150047302,0.8421052631578947,0.7624405026435852,0.96,0.9385528564453125
4,0.1,0.911504424778761,0.774962306022644,0.061061946902654846,0.94,0.7008848786354065,0.8421052631578947,0.7639006972312927,0.96,0.9399305582046509
4,0.3,0.9026548672566371,0.768648087978363,0.052212389380530924,0.92,0.6831531524658203,0.8421052631578947,0.766711413860321,0.96,0.9425814151763916
4,0.5,0.9026548672566371,0.7694272994995117,0.052212389380530924,0.92,0.6816220283508301,0.8421052631578947,0.7693852782249451,0.96,0.945101261138916
4,1.0,0.9026548672566371,0.7841298580169678,0.05575221238938051,0.92,0.7072842121124268,0.8421052631578947,0.7755328416824341,0.96,0.9508887529373169
5,0.0,0.911504424778761,0.7842018604278564,0.018584070796460163,0.92,0.8409457206726074,0.9210526315789473,0.7789505124092102,0.88,0.6786959767341614
5,0.1,0.911504424778761,0.7786032557487488,0.04690265486725661,0.92,0.8280249834060669,0.9210526315789473,0.7791069149971008,0.88,0.6789939403533936
5,0.3,0.911504424778761,0.7688847184181213,0.05752212389380527,0.92,0.8056161999702454,0.9210526315789473,0.7793148159980774,0.88,0.6795681118965149
5,0.5,0.9026548672566371,0.7599447965621948,0.0646017699115044,0.9,0.785194456577301,0.9210526315789473,0.7792412042617798,0.88,0.6801149845123291
5,1.0,0.8938053097345132,0.7415869235992432,0.055752212389380496,0.88,0.7484874725341797,0.9210526315789473,0.7721205353736877,0.88,0.6813747882843018
6,0.0,0.8849557522123894,0.6935149431228638,0.05044247787610623,0.88,0.6470186114311218,0.8421052631578947,0.639572262763977,0.96,0.8685006499290466
6,0.1,0.8761061946902655,0.6925207376480103,0.05398230088495573,0.86,0.6439046263694763,0.8421052631578947,0.6407915949821472,0.96,0.8683813214302063
6,0.3,0.8938053097345132,0.6963409781455994,0.09115044247787608,0.9,0.6508657336235046,0.868421052631579,0.6431415677070618,0.92,0.8681545853614807
6,0.5,0.8938053097345132,0.6969444751739502,0.07168141592920352,0.9,0.650634229183197,0.868421052631579,0.645380437374115,0.92,0.8679424524307251
6,1.0,0.8849557522123894,0.6935364007949829,0.06637168141592918,0.88,0.6381537914276123,0.868421052631579,0.6505395174026489,0.92,0.8696569204330444
7,0.0,0.8938053097345132,0.9070471525192261,0.06460176991150446,0.82,0.832417368888855,0.9210526315789473,0.8384076356887817,1.0,1.1606389284133911
7,0.1,0.8938053097345132,0.9061628580093384,0.09292035398230085,0.82,0.831702709197998,0.9210526315789473,0.8364936113357544,1.0,1.160980463027954
7,0.3,0.8938053097345132,0.9044488668441772,0.09469026548672563,0.82,0.8303077220916748,0.9210526315789473,0.8327940106391907,1.0,1.161646842956543
7,0.5,0.8849557522123894,0.902804434299469,0.08230088495575219,0.82,0.8289566040039062,0.8947368421052632,0.8292566537857056,1.0,1.1622920036315918
7,1.0,0.8761061946902655,0.8989694118499756,0.0893805309734513,0.8,0.8257579803466797,0.8947368421052632,0.8210568428039551,1.0,1.163819432258606
8,0.0,0.9292035398230089,0.7168275117874146,0.06460176991150443,0.94,0.7705772519111633,0.9736842105263158,0.649625301361084,0.84,0.7114755511283875
8,0.1,0.9380530973451328,0.7197710275650024,0.06991150442477874,0.96,0.7766680121421814,0.9736842105263158,0.6503811478614807,0.84,0.7114499807357788
8,0.3,0.9380530973451328,0.7256430387496948,0.06991150442477874,0.96,0.7888495922088623,0.9736842105263158,0.6518458724021912,0.84,0.7114018797874451
8,0.5,0.9380530973451328,0.7314956188201904,0.06991150442477874,0.96,0.8010311126708984,0.9736842105263158,0.653250515460968,0.84,0.7113568782806396
8,1.0,0.9380530973451328,0.7448685169219971,0.06991150442477873,0.96,0.8288168907165527,0.9736842105263158,0.6565229892730713,0.84,0.7112568616867065
9,0.0,0.911504424778761,0.8072063326835632,0.08230088495575222,0.82,0.6770538091659546,0.9736842105263158,0.9953336119651794,1.0,0.7815576791763306
9,0.1,0.911504424778761,0.8068558573722839,0.07876106194690262,0.82,0.6806254386901855,0.9736842105263158,0.988339900970459,1.0,0.7834608554840088
9,0.3,0.9026548672566371,0.8074832558631897,0.0823008849557522,0.82,0.690183699131012,0.9736842105263158,0.9752106666564941,0.96,0.7871366143226624
9,0.5,0.911504424778761,0.8089590668678284,0.07522123893805308,0.84,0.700957715511322,0.9736842105263158,0.963113009929657,0.96,0.7906478643417358
9,1.0,0.9292035398230089,0.81377774477005,0.07522123893805308,0.88,0.7278926372528076,0.9736842105263158,0.9366546273231506,0.96,0.7987754940986633
10,0.0,0.9557522123893806,0.8612822890281677,0.05575221238938049,0.94,0.847672700881958,0.9473684210526315,0.8164966106414795,1.0,0.9565756916999817
10,0.1,0.9557522123893806,0.8615128993988037,0.0716814159292035,0.94,0.8448307514190674,0.9473684210526315,0.8198698163032532,1.0,0.9581745862960815
10,0.3,0.9469026548672567,0.8620128631591797,0.04690265486725661,0.92,0.8394060730934143,0.9473684210526315,0.8264558911323547,1.0,0.9612729549407959
10,0.5,0.9380530973451328,0.8625594973564148,0.05398230088495572,0.9,0.8343055844306946,0.9473684210526315,0.8328368067741394,1.0,0.9642456769943237
10,1.0,0.9380530973451328,0.8650592565536499,0.05398230088495572,0.9,0.825004518032074,0.9473684210526315,0.8479496836662292,1.0,0.9711754322052002
11,0.0,0.911504424778761,0.7480204105377197,0.038053097345132736,0.9,0.8016533851623535,0.9736842105263158,0.723209798336029,0.84,0.6784663200378418
11,0.1,0.911504424778761,0.751259446144104,0.06637168141592918,0.9,0.8089805841445923,0.9736842105263158,0.7228248715400696,0.84,0.679037868976593
11,0.3,0.911504424778761,0.7577372193336487,0.06637168141592918,0.9,0.8236286044120789,0.9736842105263158,0.7220845222473145,0.84,0.6801460385322571
11,0.5,0.9203539823008849,0.7642139792442322,0.06283185840707964,0.92,0.8382682204246521,0.9736842105263158,0.721382200717926,0.84,0.6812095642089844
11,1.0,0.911504424778761,0.780400812625885,0.03805309734513273,0.92,0.8748323321342468,0.9473684210526315,0.7197738289833069,0.84,0.6836910843849182
12,0.0,0.911504424778761,0.6911841630935669,0.03805309734513271,0.94,0.6675044894218445,0.9210526315789473,0.7744315266609192,0.84,0.6120074987411499
12,0.1,0.911504424778761,0.6824548840522766,0.05929203539823007,0.94,0.6484421491622925,0.9210526315789473,0.7741634249687195,0.84,0.6110830903053284
12,0.3,0.9026548672566371,0.67207932472229,0.05044247787610616,0.92,0.6262781620025635,0.9210526315789473,0.7736456990242004,0.84,0.6093003749847412
12,0.5,0.911504424778761,0.6743139624595642,0.06814159292035396,0.94,0.6325541138648987,0.9210526315789473,0.773151695728302,0.84,0.6076001524925232
12,1.0,0.8938053097345132,0.6655554175376892,0.05398230088495571,0.9,0.6118342876434326,0.9210526315789473,0.7720103859901428,0.84,0.6111860871315002
13,0.0,0.911504424778761,0.864128053188324,0.052212389380530966,0.9,0.9444059729576111,0.9473684210526315,0.7687627077102661,0.88,0.8485282063484192
13,0.1,0.911504424778761,0.8667129278182983,0.07522123893805308,0.9,0.9480759501457214,0.9473684210526315,0.7700273394584656,0.88,0.8509491086006165
13,0.3,0.9203539823008849,0.8718451857566833,0.06637168141592918,0.92,0.955491840839386,0.9473684210526315,0.7724596261978149,0.88,0.8556180000305176
13,0.5,0.9203539823008849,0.8630239963531494,0.06637168141592918,0.92,0.9315738081932068,0.9473684210526315,0.7747706174850464,0.88,0.8600701689720154
13,1.0,0.911504424778761,0.8437447547912598,0.057522123893805274,0.9,0.8788334131240845,0.9473684210526315,0.7800740599632263,0.88,0.8703467845916748
14,0.0,0.9557522123893806,0.7863084673881531,0.05575221238938049,0.98,0.7616385817527771,0.9210526315789473,0.7410939335823059,0.96,0.9043748378753662
14,0.1,0.9557522123893806,0.7823371291160583,0.07168141592920352,0.98,0.7543098330497742,0.9210526315789473,0.740134596824646,0.96,0.9025396108627319
14,0.3,0.9469026548672567,0.7762638330459595,0.046902654867256595,0.96,0.7416613101959229,0.9210526315789473,0.7410044074058533,0.96,0.8990630507469177
14,0.5,0.9469026548672567,0.7778291702270508,0.06283185840707961,0.96,0.746188223361969,0.9210526315789473,0.7418347597122192,0.96,0.8958225846290588
14,1.0,0.9469026548672567,0.781882107257843,0.06283185840707961,0.96,0.7574936151504517,0.9210526315789473,0.7437563538551331,0.96,0.8886100649833679
15,0.0,0.9203539823008849,0.7757943272590637,0.04336283185840707,0.9,0.717204213142395,0.9736842105263158,0.9123730659484863,0.88,0.685374915599823
15,0.1,0.9203539823008849,0.7785346508026123,0.053982300884955724,0.9,0.7219529747962952,0.9736842105263158,0.9141926765441895,0.88,0.685498058795929
15,0.3,0.9292035398230089,0.784517228603363,0.04513274336283183,0.92,0.7326934933662415,0.9736842105263158,0.9176952242851257,0.88,0.6857345700263977
15,0.5,0.9292035398230089,0.7852411270141602,0.04513274336283183,0.92,0.7316856384277344,0.9736842105263158,0.921026349067688,0.88,0.6859583854675293
