dgp,n,replication,estimator,estimate,se,ci_low,ci_high,covered,true_effect
linear,200,8,Regression,2.0391466972414265,0.149483049241272,2.155645035340432,2.1641220963227363,False,2.0
linear,200,8,Matching,2.0804782649621107,0.14242601544717676,2.1773178974005596,2.204904865981219,False,2.0
linear,200,8,IPW,2.074128539951794,0.3418490316058887,2.1681829897236446,2.2172844873502298,False,2.0
linear,200,8,DR,2.0132031269515416,0.14863206514612834,2.0996876359362244,2.157237982780304,False,2.0
linear,200,8,CrossFitDR,2.0187854142013397,0.1551813274555458,2.042623924611607,2.163475318701559,False,2.0
linear,200,8,FlexibleDR,1.889254261867329,0.2087723043661443,1.8040020372618226,2.1290785174176783,True,2.0
linear,200,9,Regression,2.0380684797048696,0.15430128784266028,1.8721888752279192,2.291740364259615,True,2.0
linear,200,9,Matching,1.958069331837223,0.19152998405831534,1.6965019742086065,2.124485901618765,True,2.0
linear,200,9,IPW,2.1839060082032464,0.29490516713773285,1.9855927150233268,2.346508331427985,True,2.0
linear,200,9,DR,2.058253414076189,0.15643910236594258,1.7949870742631966,2.280388029242914,True,2.0
linear,200,9,CrossFitDR,2.0523950236066817,0.16734282354861205,1.7241313639982967,2.238289046431501,True,2.0
linear,200,9,FlexibleDR,2.1873014119208,0.20371830119353015,1.7769459936603513,1.9829898574566247,False,2.0
nonlinear_outcome,200,0,Regression,1.949472723525194,0.15154373209201247,1.6996602597632475,2.1240658497395524,True,2.0
nonlinear_outcome,200,0,Matching,1.8527806467358396,0.12586056301854467,1.5527250766590357,2.0494882433145354,True,2.0
nonlinear_outcome,200,0,IPW,1.9628196007567973,0.25461844159265895,1.6529722471327541,2.172165304650938,True,2.0
nonlinear_outcome,200,0,DR,1.9631561676996752,0.16774824297900928,1.648456489447012,2.193186133650609,True,2.0
nonlinear_outcome,200,0,CrossFitDR,1.9810873350054712,0.20720651425961745,1.6460276249699664,2.2013853408424717,True,2.0
nonlinear_outcome,200,0,FlexibleDR,1.8653826946201577,0.1303977406170439,1.8217722917886632,2.1141416170327605,True,2.0
nonlinear_outcome,200,1,Regression,1.8868334164290221,0.12940961217438324,1.8569401266527372,1.8958723317495545,False,2.0
nonlinear_outcome,200,1,Matching,1.7155637269995607,0.16693770951932027,1.7216069516876722,1.8888696328869634,False,2.0
nonlinear_outcome,200,1,IPW,1.9100658438539928,0.2623697799752539,1.8588554816957252,1.8939101514005827,False,2.0
nonlinear_outcome,200,1,DR,1.909158427761344,0.1294606207343488,1.8540606990246367,1.891634536386343,False,2.0
nonlinear_outcome,200,1,CrossFitDR,1.942298002590382,0.1366340494368426,1.8758881773058256,1.8761789286492483,False,2.0
nonlinear_outcome,200,1,FlexibleDR,1.956308336139441,0.09287767503744741,1.8908308665932771,2.008610322230527,True,2.0
nonlinear_outcome,200,2,Regression,2.271355256675477,0.1472737631115181,2.141799029746541,2.2770547494005826,False,2.0
nonlinear_outcome,200,2,Matching,2.2563465521949,0.1502396066899742,2.09442791504514,2.1761480347847764,False,2.0
nonlinear_outcome,200,2,IPW,2.2589659995047144,0.23655895689254497,2.126963632970119,2.233964114320609,False,2.0
nonlinear_outcome,200,2,DR,2.2709058583528368,0.1499658305984501,2.1067199644669676,2.2353134089280555,False,2.0
nonlinear_outcome,200,2,CrossFitDR,2.282957000894537,0.1553936474236048,2.130795289984803,2.1797617135286047,False,2.0
nonlinear_outcome,200,2,FlexibleDR,2.1233189635033947,0.09286711536283229,2.0164319925417304,2.0451076232429353,False,2.0
nonlinear_outcome,200,3,Regression,1.8814595888410877,0.12086751251897263,1.7854268862031808,1.8650771252933716,False,2.0
nonlinear_outcome,200,3,Matching,1.8111054568272063,0.14567742370814923,1.6047931752254871,1.70362551553664,False,2.0
nonlinear_outcome,200,3,IPW,1.8658374769169823,0.2577437860336405,1.7050635848936684,1.7672758493094232,False,2.0
nonlinear_outcome,200,3,DR,1.8521330862304493,0.12345384150270179,1.6988025277222267,1.7652773431347386,False,2.0
nonlinear_outcome,200,3,CrossFitDR,1.8738147283703557,0.13087761064046374,1.6449356953510221,1.6955701159221386,False,2.0
nonlinear_outcome,200,3,FlexibleDR,2.0730988686073424,0.09922847374119298,1.9696677834093972,1.99387865137136,False,2.0
nonlinear_outcome,200,4,Regression,2.1935045218341402,0.1360359549892025,2.1487623978484116,2.175143337129972,False,2.0
nonlinear_outcome,200,4,Matching,2.206911084417693,0.13226526869599523,1.935992119979662,2.259592877493417,True,2.0
nonlinear_outcome,200,4,IPW,2.176110639040761,0.254161273697166,2.103623896647323,2.1662612102414376,False,2.0
nonlinear_outcome,200,4,DR,2.1935321785786637,0.1458711065867979,2.166086830555352,2.177891254345793,False,2.0
nonlinear_outcome,200,4,CrossFitDR,2.1298986793253265,0.1597001644020681,2.1498562905205394,2.2186879661173036,False,2.0
nonlinear_outcome,200,4,FlexibleDR,2.046465745672384,0.1083626725266207,2.047852194547611,2.095146522448548,False,2.0
nonlinear_outcome,200,5,Regression,2.026869562112846,0.14137484372753806,2.0307032450330658,2.130072332809424,False,2.0
nonlinear_outcome,200,5,Matching,1.8022818768454831,0.13846704984636393,1.8264520925504153,2.0386132919976787,True,2.0
nonlinear_outcome,200,5,IPW,2.018750062565413,0.2240310303596,1.9995228221931551,2.0658565468474537,True,2.0
nonlinear_outcome,200,5,DR,1.9868283212888127,0.13315672951750002,1.997786689537142,2.068785129468452,True,2.0
nonlinear_outcome,200,5,CrossFitDR,1.9571012142791198,0.1421150661246533,1.997420261658173,2.092695095580292,True,2.0
nonlinear_outcome,200,5,FlexibleDR,2.0415793795454475,0.09110058040136183,2.0265755239153864,2.0512943076975514,False,2.0
nonlinear_outcome,200,6,Regression,2.0014192072126673,0.13268546338082357,1.940104700363301,1.9456170459767188,False,2.0
nonlinear_outcome,200,6,Matching,1.867470617864158,0.13223342594296147,1.747948530530918,1.8674157375094924,False,2.0
nonlinear_outcome,200,6,IPW,2.105933869455725,0.21984682482059786,2.0626104220813675,2.0918316350380133,False,2.0
nonlinear_outcome,200,6,DR,2.054928484654441,0.1407870868406041,2.0027187594457745,2.0521267511358356,False,2.0
nonlinear_outcome,200,6,CrossFitDR,2.04099484410511,0.15323419844633285,1.984049538827722,2.0610900794051634,True,2.0
nonlinear_outcome,200,6,FlexibleDR,2.0687786998370474,0.1140353557878244,2.001622161552015,2.117197715740653,False,2.0
nonlinear_outcome,200,7,Regression,1.9782459485418251,0.12964484129167628,2.102151942760757,2.1040137949534006,False,2.0
nonlinear_outcome,200,7,Matching,1.9303695742567417,0.1416445474269128,2.0129788062429252,2.014368233818882,False,2.0
nonlinear_outcome,200,7,IPW,2.014000921373155,0.1969368876551778,2.1397898483353077,2.14537958006152,False,2.0
nonlinear_outcome,200,7,DR,1.990786095507197,0.16207422709031685,2.0798195571539746,2.149688830959264,False,2.0
nonlinear_outcome,200,7,CrossFitDR,1.9773535564308549,0.16864551654233054,2.0749948359769497,2.1572863584657287,False,2.0
nonlinear_outcome,200,7,FlexibleDR,2.007681485973365,0.10356236560413225,2.1764145658093503,2.2034459852494175,False,2.0
nonlinear_outcome,200,8,Regression,2.011099621421873,0.12894516402691655,2.055310017247745,2.100014516742941,False,2.0
nonlinear_outcome,200,8,Matching,1.8973608878879529,0.1594670061447202,1.8387488902389055,2.1878098146198184,True,2.0
nonlinear_outcome,200,8,IPW,2.029480164261331,0.23879276066212426,2.095699849951769,2.107179120327398,False,2.0
